"* Required Fields","* Обязательные поля"
"A new password was sent","Новый пароль был отправлен"
"Account Dashboard","Панель управления"
"Account Information","Данные учётной записи"
"Account Sharing Options","Параметры разделения учётной записи"
"Account information was successfully saved","Данные учётной записи успешно сохранены"
"Action","Действие"
"Add New Address","Добавить новый адрес"
"Add New Customer","Добавить нового пациента"
"Add New Customer Group","Добавить новую группу пациентов"
"Added From","Добавлено из"
"Additional Address Entries","Дополнительные адреса"
"Address","Адрес"
"Address Book","Адресная книга"
"Address Information","Информация об адресе"
"Addresses","Адреса"
"Admin","Панель администрирования"
"All","Все"
"All Store Views","Все представления магазинов"
"All countries","Все страны"
"Always optional","Всегда необязательно"
"Amount","Сумма"
"Approved","Одобрен"
"Are you sure that you want to remove this item?","Вы действительно хотите удалить эту позицию?"
"Are you sure you want to cancel adding of this address?","Вы действительно хотите отменить добавление этого адреса?"
"Are you sure you want to delete this address?","Вы действительно хотите удалить этот адрес?"
"Are you sure?","Вы уверены?"
"Array of Entity collections is expected","Должен быть указан массив коллекций"
"Assign a customer group","Назначить группу"
"Average Sale","Средние продажи"
"Back","Вернуться"
"Back to Login","Вернуться на форму авторизации"
"Bad request.","Неверный запрос."
"Bill to Name","Плательщик"
"Billing Information","Информация о плательщике"
"Bought From","Куплено из"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Создав учётную запись на нашем сайте, вы будете тратить меньше времени на оформление заказа, сможете хранить несколько адресов доставки, отслеживать состояние заказов, а также многое другое."
"CSV","CSV"
"Can't save address","Невозможно сохранить адрес"
"Can't save customer","Невозможно сохранить пациента"
"Can't share customer accounts global. Because some customer accounts with same emails exist on multiple websites and cannot be merged.","Невозможно разделить учётные записи пациента. Некоторые пациенты с одинаковым адресом электронной почты существуют на разных сайтах и их невозможно объединить в одну учётную запись."
"Cancel","Отменить"
"Change Account Password","Изменить пароль учётной записи"
"Change Billing Address","Изменить адрес плательщика"
"Change Password","Изменить пароль"
"Change Shipping Address","Изменить адрес доставки"
"City","Город"
"Company","Компания"
"Config","Конфигурация"
"Confirm New Password","Подтвердите новый пароль"
"Confirm Password","Подтвердите пароль"
"Confirmation Link Email","Письмо (email) со ссылкой подтверждения"
"Confirmed","Подтверждён"
"Contact Information","Контактная информация"
"Continue Shopping","Вернуться к выбору товаров"
"Country","Страна"
"Create","Создать"
"Create New Account Options","Параметры создания новой учётной записи"
"Create New Customer Account","Создать новую учётную запись пациента"
"Create Order","Создать заказ"
